,year,dtr,rtd,dtu,utd,rtu,utr,dem_ns,rep_ns
0,2011.0,0.0037250181266322117,0.001871879071513266,0.006230346838872548,0.005421315222890654,0.006288233577529207,0.005698289774468855,0.0034159739053182064,0.0021034908836071995
0,2012.0,0.009534365490564954,0.0048268547436073,0.014304557947585268,0.018261279036158116,0.011302579922258032,0.010307868472662785,0.0043913700729514,0.003571628561718152
0,2013.0,0.0023034905519831875,0.0015264045801647713,0.004337383473703077,0.004212220542917149,0.005830876063239327,0.0035801911790684436,0.0019030643381699576,0.0029397421543914115
0,2014.0,0.0034812221749775264,0.001852158584993176,0.010768295832047048,0.006955748253628819,0.009819615629466679,0.00457618419028238,0.006590052596937379,0.006073492594276195
0,2015.0,0.0030670531302393663,0.0013662827453053703,0.00625167131679638,0.005019691493744873,0.00651825169158181,0.004735114455647432,0.003018034479639127,0.002434874833882745
0,2016.0,0.011904877378469696,0.005002680643615704,0.02355894586361631,0.021250560691505417,0.01908630128771826,0.014810013738705063,0.009641592705756825,0.006618785166749095
0,2017.0,0.002659037177380166,0.0015590509774152303,0.0067087033382235645,0.005773016684429651,0.007073776349074748,0.00452124766596648,0.0024066155467364317,0.002821240837063535
0,2018.0,0.006197672954414061,0.0029823733518390006,0.01596753275998195,0.01142666150154009,0.014522137404580153,0.007887644324344753,0.007074979618360112,0.007106731436502429
0,2019.0,0.007566561301031889,0.003380814348354343,0.014651031421394432,0.012590314726018126,0.015579557052651473,0.011773892428665235,0.004093101021472421,0.0036712733863819274
0,2020.0,0.014616243401324547,0.006326012746128785,0.022134071972699978,0.023058303464627877,0.0218135759683986,0.020938525918832003,0.001993377726712424,0.0005413643463174245
0,2021.0,0.00436633472653421,0.0027255941254626824,0.010137365849391313,0.008034597451196479,0.017949184834923262,0.008619418509110096,0.0026895309743966743,0.008940688454349144
0,2022.0,0.008083643391194401,0.002305706685565095,0.021288328988274378,0.008873206137991247,0.016697548864002678,0.009894281049705965,0.012761011023434694,0.006234512762590955
